rank,feature_idx,feature_name,importance_mean,importance_std
1,133,f132,0.02602031113710219,0.0038640730203498147
2,188,f187,0.0250050440958016,0.005349885064148911
3,158,f157,0.023084239117378523,0.004588950295106889
4,156,f155,0.022115351689449444,0.0051965548719610025
5,127,f126,0.021987351788514423,0.0037954973426377195
6,28,f027,0.021693087222179486,0.005374031948137277
7,63,f062,0.01926589015970347,0.004356481503488207
8,72,f071,0.01919968608322516,0.0038582256237647884
9,66,f065,0.018937501854493784,0.0041597667785825045
10,38,f037,0.018606577393242733,0.004299047601006019
11,184,f183,0.017421504839584726,0.0029162623966006982
12,180,f179,0.017050313889457346,0.0035073731245011106
13,137,f136,0.015700806068529537,0.005139972008760725
14,109,f108,0.015544460257208742,0.003614842781236335
15,39,f038,0.01516921872297789,0.003833532244032827
16,129,f128,0.014917964025777084,0.003921306349751623
17,43,f042,0.01468926129843893,0.004692384980228396
18,105,f104,0.014677744505987484,0.003370958970440009
19,12,f011,0.014569443828630735,0.004114931745439619
20,11,f010,0.014280044652813507,0.00433268851255975
21,108,f107,0.01427782762274088,0.003694812333195502
22,32,f031,0.014107028044748334,0.0038369077894555813
23,106,f105,0.01393694246509844,0.0047064516083746575
24,126,f125,0.01358154692997784,0.004235432110359201
25,50,f049,0.013518190478419881,0.004310235527221028
26,198,f197,0.013411957857391557,0.003481824945112657
27,5,f004,0.013085545705828414,0.003733276520288853
28,196,f195,0.012959315891906149,0.003333907834360012
29,171,f170,0.012833403612913363,0.0032454958279584576
30,34,f033,0.012829795426380245,0.0026706327141445504
31,179,f178,0.012776636404761784,0.0036233702229522295
32,73,f072,0.012487335326287902,0.004228187116172654
33,13,f012,0.011669372976366804,0.002666349199462961
34,159,f158,0.011623758326460662,0.0034245224979367905
35,124,f123,0.011185451537701074,0.0035134301925084143
36,140,f139,0.011165813948751392,0.002970138430877611
37,146,f145,0.011097886440751981,0.0030457310781195636
38,92,f091,0.011025635307517271,0.003963625103126101
39,107,f106,0.010965048768129372,0.003909779359742066
40,89,f088,0.010838097977603623,0.0026319130988761725
41,135,f134,0.010723968054194524,0.0028954909704494917
42,48,f047,0.010707545993118975,0.0029563185222709377
43,128,f127,0.010610074394718035,0.00482063720081089
44,174,f173,0.010464195444039462,0.0028194324099494253
45,60,f059,0.01044193025401058,0.003988334652217237
46,49,f048,0.010324906164974723,0.0031356782704577597
47,144,f143,0.010317332537134148,0.0033599012038813955
48,173,f172,0.010302549146086212,0.0028859019595852396
49,200,f199,0.010204979559232417,0.0027390509524555483
50,160,f159,0.010187153486637707,0.0033250415176838016
51,75,f074,0.010013313958778728,0.00426121450045532
52,15,f014,0.009996637891781086,0.003864278355428774
53,76,f075,0.009992638269477435,0.003587729569795789
54,157,f156,0.009948946296351633,0.003132821975396755
55,114,f113,0.009770148714775568,0.0045451770895031905
56,30,f029,0.009678770133887054,0.0035316825409900795
57,181,f180,0.009626141418797904,0.003382026862769823
58,177,f176,0.009588325449170139,0.0033976871454297597
59,54,f053,0.009582016558601896,0.002875045274657744
60,183,f182,0.009541693333333314,0.0035826513156368006
61,1,f000,0.009486380752740975,0.0034044354533419767
62,134,f133,0.009466258814545539,0.0023834050029442762
63,95,f094,0.009440410886819246,0.0027288067424510844
64,31,f030,0.009427803756305805,0.0038478145189145495
